tokens,tags
"['\ufeffউন্নয়নের', 'বিস্ময়', 'বাংলাদেশ', 'বাংলাদেশের', 'অগ্রগতি', 'উদাহরণ', 'দেওয়ার', 'মতোই', '।']","['O', 'O', 'B-LOC', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
"['অর্থনীতি', 'ও', 'আর্থসামাজিক', 'বেশির', 'ভাগ', 'সূচকে', 'বাংলাদেশ', 'ছাড়িয়ে', 'গেছে', 'দক্ষিণ', 'এশিয়াকে', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'O']"
"['নিম্ন', 'আয়ের', 'দেশগুলোকে', 'ছাড়িয়েছে', 'তো', 'অনেক', 'আগেই', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['আন্তর্জাতিক', 'মুদ্রা', 'তহবিল', '(', 'আইএমএফ', ')', 'গত', 'সপ্তাহেই', 'একটি', 'প্রতিবেদন', 'প্রকাশ', 'করে', 'বলেছে', ',', 'একটি', 'জনবহুল', 'ও', 'নিম্ন', 'আয়ের', 'দেশ', 'হিসেবে', 'বাংলাদেশ', 'যেভাবে', 'প্রবৃদ্ধির', 'সঙ্গে', 'দারিদ্র্য', 'দূর', 'এবং', 'বৈষম্য', 'কমানোকে', 'সংযুক্ত', 'করেছে', ',', 'তা', 'অত্যন্ত', 'উল্লেখযোগ্য', '।']","['B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['সবাইকে', 'অন্তর্ভুক্ত', 'করে', 'প্রবৃদ্ধি', 'অর্জনের', 'ক্ষেত্রে', 'বাংলাদেশ', 'এখন', 'উদাহরণ', 'দেওয়ার', 'মতো', 'একটি', 'দেশ', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['আবার', 'আরেকটি', 'আন্তর্জাতিক', 'দাতা', 'সংস্থা', 'বিশ্বব্যাংক', 'একটি', 'টেবিল', 'উপস্থাপন', 'করে', 'দেখিয়েছে', ',', 'প্রধান', '১২টি', 'সূচকের', 'মধ্যে', '১০টিতেই', 'বাংলাদেশ', 'দক্ষিণ', 'এশিয়া', 'এবং', 'অন্য', 'নিম্ন', 'আয়ের', 'দেশের', 'তুলনায়', 'এগিয়ে', 'গেছে', 'বা', 'যাচ্ছে', '।']","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['তবে', 'অন্তর্ভুক্তিমূলক', 'প্রবৃদ্ধি', 'অর্জনে', 'বাংলাদেশের', 'বড়', 'ধরনের', 'সাফল্য', 'থাকলেও', 'রাজনীতি', 'চলছে', 'ঠিক', 'উল্টো', 'পথে', '।']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['অন্তর্ভুক্তিমূলক', 'রাজনীতির', 'অভাবে', 'অর্থনীতির', 'সাফল্য', 'পিছিয়ে', 'পড়ছে', 'বলে', 'মনে', 'করছেন', 'অর্থনীতিবিদ', 'ও', 'বিশেষজ্ঞরা', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['অচল', 'হয়ে', 'পড়ছে', 'দেশের', 'অর্থনীতি', ',', 'কমছে', 'প্রবৃদ্ধি', '।']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
"['ফলে', 'সামাজিক', 'সূচকগুলোও', 'হুমকির', 'মধ্যে', 'পড়ে', 'গেছে', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['এ', 'রকম', 'এক', 'অনিশ্চিত', 'অবস্থার', 'মধ্যেই', 'নতুন', 'বছরে', 'প্রবেশ', 'করছে', 'বাংলাদেশ', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['অর্থনীতিবিদেরা', 'বলছেন', ',', 'চলমান', 'রাজনৈতিক', 'বিরোধের', 'পরিপ্রেক্ষিতে', 'এ', 'বছরের', 'শুরুতে', 'অর্থনীতি', 'নিয়ে', 'ইতিবাচক', 'ভাবনার', 'সুযোগ', 'খুব', 'নেই', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['হরতাল-অবরোধের', 'সাময়িক', 'ক্ষয়ক্ষতি', 'তো', 'আছেই', ',', 'তবে', 'বিগত', 'প্রায়', 'দুই', 'দশকের', 'গণতান্ত্রিক', 'ব্যবস্থা', 'ও', 'অর্থনৈতিক', 'উন্নয়নের', 'ধারাবাহিকতা', 'কতখানি', 'ঝুঁকির', 'মধ্যে', 'পড়েছে', ',', 'সেটিই', 'এখন', 'বড়', 'প্রশ্ন', 'হয়ে', 'দাঁড়িয়েছে', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['বাংলাদেশের', 'উন্নয়ন', 'বিস্ময়', ':', 'গত', 'দুই', 'দশকের', 'অর্থনৈতিক', 'প্রবৃদ্ধি', 'ও', 'সামাজিক', 'উন্নয়নের', 'যেকোনো', 'সূচকের', 'বিচারে', 'বাংলাদেশের', 'অভূতপূর্ব', 'অগ্রগতি', 'হয়েছে', '।']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O']"
"['বাংলাদেশ', '১৯৯০-এর', 'পর', 'সার্বিকভাবে', 'প্রবৃদ্ধিতে', 'উন্নয়নশীল', 'দেশের', 'গড়', 'হারের', 'তুলনায়', 'অনেক', 'এগিয়েছে', '।']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['দারিদ্র্যের', 'হার', 'অর্ধেক', 'হয়ে', 'গেছে', '।']","['O', 'O', 'O', 'O', 'O', 'O']"
"['মেয়েদের', 'অর্থনৈতিক', 'কর্মকাণ্ডে', 'অবদানের', 'হার', 'দ্রুত', 'বেড়েছে', ',', 'জনসংখ্যা', ',', 'গড়', 'আয়ু', ',', 'শিশুমৃত্যুর', 'হার', ',', 'মেয়েদের', 'স্কুলে', 'পড়ার', 'হার', ',', 'সক্ষম', 'দম্পতিদের', 'জন্মনিয়ন্ত্রণব্যবস্থা', 'গ্রহণের', 'হার', 'ইত্যাদি', 'সামাজিক', 'সূচকে', 'বাংলাদেশ', 'সমপর্যায়ের', 'উন্নয়নশীল', 'অন্যান্য', 'দেশ', ',', 'এমনকি', 'প্রতিবেশী', 'ভারতকে', 'পেছনে', 'ফেলতে', 'সমর্থ', 'হয়েছে', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
"['অনেক', 'ক্ষেত্রেই', 'ভারতের', 'তুলনায়', 'বাংলাদেশের', 'সাফল্য', 'যে', 'বেশি', ',', 'নোবেলজয়ী', 'বাঙালি', 'অর্থনীতিবিদ', 'অধ্যাপক', 'অমর্ত্য', 'সেন', 'তা', 'বারবার', 'লিখেছেন', '।']","['O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O']"
"['তিনি', 'তাঁর', 'সর্বশেষ', 'প্রকাশিত', 'অ্যান', 'আনসারটেইন', 'গ্লোরি', ':', 'ইন্ডিয়া', 'অ্যান্ড', 'ইটস', 'কনট্রাডিকশনস', 'বইয়ে', 'বাংলাদেশ', 'নিয়ে', 'আলাদা', 'একটি', 'অধ্যায়ও', 'রেখেছেন', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
