sentences,tokens,tags
অগ্রণী ব্যাংকের জ্যেষ্ঠ কর্মকর্তা পদে নিয়োগ পরীক্ষার প্রশ্নপত্র ফাঁসের অভিযোগ উঠেছে।,"['অগ্রণী', 'ব্যাংকের', 'জ্যেষ্ঠ', 'কর্মকর্তা', 'পদে', 'নিয়োগ', 'পরীক্ষার', 'প্রশ্নপত্র', 'ফাঁসের', 'অভিযোগ', 'উঠেছে', '<PUNCT>']","['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
ব্যাংকের চেয়ারম্যানও এ অভিযোগের সত্যতা স্বীকার করেছেন।,"['ব্যাংকের', 'চেয়ারম্যানও', 'এ', 'অভিযোগের', 'সত্যতা', 'স্বীকার', 'করেছেন', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
আজ শুক্রবার বিকেল চারটা থেকে পাঁচটা পর্যন্ত এক ঘণ্টার এ পরীক্ষা অনুষ্ঠিত হয়।,"['আজ', 'শুক্রবার', 'বিকেল', 'চারটা', 'থেকে', 'পাঁচটা', 'পর্যন্ত', 'এক', 'ঘণ্টার', 'এ', 'পরীক্ষা', 'অনুষ্ঠিত', 'হয়', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
এ ছাড়া কয়েকটি পরীক্ষাকেন্দ্রে ছাত্রলীগের নেতা-কর্মীদের সহায়তায় মুঠোফোনে উত্তর সরবরাহের অভিযোগও পাওয়া গেছে।,"['এ', 'ছাড়া', 'কয়েকটি', 'পরীক্ষাকেন্দ্রে', 'ছাত্রলীগের', 'নেতা', '<PUNCT>', 'কর্মীদের', 'সহায়তায়', 'মুঠোফোনে', 'উত্তর', 'সরবরাহের', 'অভিযোগও', 'পাওয়া', 'গেছে', '<PUNCT>']","['O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"ব্যাংকের চেয়ারম্যান ও ঢাকা বিশ্ববিদ্যালয়ের ইন্টারন্যাশনাল বিজনেস বিভাগের অধ্যাপক খন্দকার বজলুল হক প্রথম আলো ডটকমকে জানান, বিকেল তিনটা ৫০ মিনিটে তিনি এ ধরনের অভিযোগ পেয়েছেন।","['ব্যাংকের', 'চেয়ারম্যান', 'ও', 'ঢাকা', 'বিশ্ববিদ্যালয়ের', 'ইন্টারন্যাশনাল', 'বিজনেস', 'বিভাগের', 'অধ্যাপক', 'খন্দকার', 'বজলুল', 'হক', 'প্রথম', 'আলো', 'ডটকমকে', 'জানান', '<PUNCT>', 'বিকেল', 'তিনটা', '৫০', 'মিনিটে', 'তিনি', 'এ', 'ধরনের', 'অভিযোগ', 'পেয়েছেন', '<PUNCT>']","['O', 'O', 'O', 'B-ORG', 'I-ORG', 'B-ORG', 'I-ORG', 'I-ORG', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
তার হাতে ফাঁস হওয়া প্রশ্নের যে কাগজটি এসেছিল সেটির সঙ্গে প্রশ্নের মিল পাওয়া গেছে।,"['তার', 'হাতে', 'ফাঁস', 'হওয়া', 'প্রশ্নের', 'যে', 'কাগজটি', 'এসেছিল', 'সেটির', 'সঙ্গে', 'প্রশ্নের', 'মিল', 'পাওয়া', 'গেছে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"তিনি বলেন, 'বেলা আড়াইটার দিকেই পরীক্ষার কেন্দ্রগুলোতে প্রশ্ন পাঠানো হয়।","['তিনি', 'বলেন', '<PUNCT>', '<PUNCT>', 'বেলা', 'আড়াইটার', 'দিকেই', 'পরীক্ষার', 'কেন্দ্রগুলোতে', 'প্রশ্ন', 'পাঠানো', 'হয়', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
সেখান থেকে প্রশ্ন ফাঁস হতে পারে।',"['সেখান', 'থেকে', 'প্রশ্ন', 'ফাঁস', 'হতে', 'পারে', '<PUNCT>', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"পরীক্ষা বাতিল করা হবে কি না, এমন প্রশ্নের জবাবে তিনি বলেন, 'হুট করেই পরীক্ষা বাতিল করা সম্ভব নয়।","['পরীক্ষা', 'বাতিল', 'করা', 'হবে', 'কি', 'না', '<PUNCT>', 'এমন', 'প্রশ্নের', 'জবাবে', 'তিনি', 'বলেন', '<PUNCT>', '<PUNCT>', 'হুট', 'করেই', 'পরীক্ষা', 'বাতিল', 'করা', 'সম্ভব', 'নয়', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
এ বিষয়ে পরিচালনা পর্ষদে আলোচনা করা হবে।,"['এ', 'বিষয়ে', 'পরিচালনা', 'পর্ষদে', 'আলোচনা', 'করা', 'হবে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
